habitat,slope
gravel,-3.6011470342793936
gravel,-3.826256433206231
gravel,-3.5094894291151912
gravel,-2.7885075073733825
gravel,-3.435884211990598
gravel,-3.2740240079430545
gravel,-3.427063708546116
gravel,-3.1066107061931065
gravel,-2.92846886267409
gravel,-3.417292126466273
gravel,-3.573578338851195
gravel,-3.550325409091151
gravel,-3.120917277918312
gravel,-2.827146339424912
gravel,-2.532615327962932
gravel,-2.673187965354509
gravel,-2.9566588692726476
gravel,-3.6962143312862485
gravel,-3.1589528862028504
gravel,-3.164836914814285
gravel,-3.2192261723960494
gravel,-3.133047517075982
gravel,-3.1889172447912304
gravel,-2.812807980709514
gravel,-4.1731622538690445
gravel,-3.6946900128739184
gravel,-4.5819404689439525
gravel,-4.655356033667369
gravel,-3.9806561727973335
gravel,-3.48160539314431
gravel,-3.6340833042838008
gravel,-4.032881624390886
gravel,-4.1466157837449975
gravel,-3.4887062311349233
gravel,-2.8942029930353765
gravel,-3.05728477490634
gravel,-3.0306560830213893
gravel,-2.848128191240872
gravel,-2.8847244924812494
gravel,-3.3884294981382252
gravel,-3.786938000526822
gravel,-3.9211680542129006
gravel,-3.5405731046839084
gravel,-3.775624571289823
gravel,-3.0142021646894093
gravel,-2.6496852971152167
gravel,-3.289716996175694
gravel,-2.9708612084899175
gravel,-3.7679684085092338
gravel,-3.8688679774180947
gravel,-3.242595061399548
gravel,-2.850488383474415
gravel,-3.335566462498599
gravel,-3.6171704516063663
gravel,-3.320945455111003
gravel,-3.4259226138659256
gravel,-3.5082424191888335
gravel,-3.409851897031907
gravel,-4.297476720619552
gravel,-3.490610402403305
gravel,-4.26292362447572
gravel,-3.970714402105561
gravel,-3.5840548540238393
gravel,-3.1275775078703245
gravel,-4.233623653678143
gravel,-4.249810410131742
gravel,-4.5996831970620695
gravel,-4.528061255906157
gravel,-4.266676841628804
gravel,-4.062935158380023
gravel,-4.644347814799084
gravel,-4.647461617854101
gravel,-3.7954050536057333
gravel,-3.610232598172128
gravel,-4.010032955198027
gravel,-3.8468467643954853
gravel,-3.9335598104436604
gravel,-3.513947175250554
gravel,-2.899191013178332
gravel,-3.6151549896339397
gravel,-3.0755088920095006
gravel,-3.3063337014122123
gravel,-2.7384624794590477
gravel,-3.6335715826302377
gravel,-3.1928133087772563
gravel,-3.717846823511913
gravel,-3.4555000198653643
gravel,-3.4077423870093058
gravel,-4.57031678471549
gravel,-4.672670852891984
gravel,-4.540797654259692
gravel,-3.5703868449378726
gravel,-3.8745911934903248
gravel,-3.9607067073102473
gravel,-3.662525232321386
gravel,-3.6103444640515994
gravel,-2.942278547289485
gravel,-2.6515676775631376
gravel,-3.3715779964463226
gravel,-2.813726765703489
gravel,-4.131785392536988
gravel,-3.936181923890952
gravel,-3.7385835401542966
gravel,-4.181819887922476
gravel,-3.8291359473801894
gravel,-3.1956198217408294
gravel,-3.706858986557878
gravel,-3.957217998249668
gravel,-3.767093916945194
gravel,-3.524930262263696
gravel,-3.8899560514749436
gravel,-2.895180481586138
gravel,-3.118616136797415
gravel,-2.846267184759555
gravel,-2.798785713447984
gravel,-3.8338978627517517
gravel,-3.191354804789122
gravel,-3.0789299161870285
gravel,-2.9730035557783316
gravel,-3.8488784137202883
gravel,-4.339346418375067
gravel,-4.043418702250926
gravel,-4.186664791856053
gravel,-4.077507599439538
gravel,-3.8761862138677152
gravel,-3.94701144467188
gravel,-4.753498628662453
gravel,-2.8233688228110605
gravel,-3.924564262635455
gravel,-3.7660216107125732
gravel,-3.882461259263249
gravel,-2.774274732114733
gravel,-4.35709920687056
gravel,-3.333491926364863
gravel,-3.1000941762497134
gravel,-3.4980645321390176
gravel,-3.3702539682988655
gravel,-3.0207491002861153
gravel,-3.6247426755308405
gravel,-3.610690990928266
gravel,-3.2859313668966097
gravel,-3.9593057455759597
gravel,-3.025390599222243
gravel,-3.0315448645730734
gravel,-3.6590889191440046
gravel,-3.520139268054846
gravel,-3.0675534222605734
gravel,-3.267725699659685
gravel,-2.9782754660010653
gravel,-3.281273613077266
gravel,-4.021406826782403
gravel,-3.7287148353953965
gravel,-4.4772231042134125
gravel,-3.6432059609368928
gravel,-3.4263475227389617
gravel,-3.534272870732618
gravel,-3.97357745084093
gravel,-3.2817121294998897
gravel,-3.6758750410655523
gravel,-3.4900360847032745
gravel,-2.4631913150143694
gravel,-3.496772834003405
gravel,-3.377185543892043
gravel,-3.1720387857421826
gravel,-3.741809536671596
gravel,-3.990421807682924
gravel,-3.23923471274428
gravel,-3.060042891826095
gravel,-3.2033810240103624
gravel,-2.821979985833091
gravel,-2.2304836680196374
gravel,-2.6796644969918417
gravel,-3.3224897820211363
gravel,-3.4672821555102185
gravel,-2.7981467943421947
gravel,-2.4101570628204794
gravel,-3.0964234862188684
gravel,-2.0937243260611127
gravel,-2.0639526323963273
gravel,-3.4537670372123555
gravel,-3.46835692161342
gravel,-3.3150491369995088
gravel,-2.92400124260922
gravel,-3.009582295595635
sand,-3.2277617937228347
sand,-3.0644805880301615
sand,-3.2416726257617525
sand,-3.335149572664926
sand,-3.570896711551831
sand,-3.462807894699575
sand,-3.477344779145723
sand,-3.4507390424173003
sand,-3.0535078644959763
sand,-3.06048192924944
sand,-2.6806320128634153
sand,-3.43815573151698
sand,-3.113676636165236
sand,-3.6975124815167364
sand,-3.9631720297830055
sand,-4.171950935689316
